SalesID,Quantity,Price,Discount,Revenue
1,52,354.14,0.43,9665.46
2,93,427.46,0.44,1449.26
3,15,184.74,0.29,7571.53
4,72,138.08,0.26,3370.39
5,61,473.83,0.41,2974.54
6,21,365.89,0.37,2780.7
7,83,117.64,0.2,3552.94
8,87,230.05,0.04,3635.46
9,75,400.26,0.38,2780.4
10,75,278.06,0.08,6708.18
11,88,328.48,0.01,572.45
12,24,379.35,0.42,3389.71
13,3,314.78,0.29,2874.04
14,22,274.64,0.45,7539.04
15,53,377.31,0.24,1550.34
16,2,366.51,0.46,9412.8
17,88,318.64,0.18,1788.13
18,30,186.3,0.36,3763.27
19,38,208.85,0.15,2077.03
20,2,485.51,0.0,2938.31
21,64,65.07,0.19,7634.14
22,60,141.57,0.37,4816.41
23,21,251.28,0.08,1709.5
24,33,420.0,0.25,561.69
25,76,90.2,0.11,2376.17
26,58,145.71,0.04,9461.47
27,22,42.24,0.31,8468.64
28,89,355.93,0.48,4457.72
29,49,126.72,0.16,4871.75
30,91,200.45,0.29,9003.72
31,59,227.41,0.48,5954.32
32,42,446.74,0.33,8819.59
33,92,211.55,0.34,4969.21
34,60,81.16,0.09,2080.97
35,80,266.91,0.25,7286.68
36,15,481.85,0.18,5311.29
37,62,307.77,0.24,6717.55
38,62,491.86,0.4,1656.59
39,47,422.14,0.23,6511.26
40,62,27.62,0.03,3884.35
41,51,332.62,0.45,3386.78
42,55,150.52,0.27,6747.61
43,64,284.21,0.46,5963.17
44,3,146.88,0.29,6526.16
45,51,180.95,0.03,9656.8
46,7,462.35,0.28,7041.85
47,21,111.26,0.29,6444.9
48,73,438.31,0.11,6174.18
49,39,24.92,0.24,4047.27
50,18,54.53,0.23,8408.0
51,4,428.79,0.31,3871.29
52,89,318.97,0.13,7032.41
53,60,376.15,0.29,3002.12
54,14,112.61,0.12,1562.79
55,9,273.17,0.22,1384.66
56,90,371.24,0.06,6382.13
57,53,317.38,0.02,3346.75
58,2,241.13,0.16,2822.99
59,84,480.29,0.14,5961.39
60,92,341.32,0.2,354.13
61,60,454.8,0.48,2537.63
62,71,367.59,0.26,3471.42
63,44,370.38,0.28,7112.9
64,8,49.21,0.47,5495.51
65,47,186.14,0.46,8574.29
66,35,430.6,0.44,3411.61
67,78,123.98,0.05,3034.77
68,81,66.6,0.32,428.65
69,36,169.79,0.4,9522.0
70,50,118.01,0.42,5064.77
71,4,463.39,0.29,5074.99
72,2,435.3,0.01,9242.02
73,6,254.84,0.49,2970.19
74,54,40.06,0.24,3387.85
75,4,360.14,0.2,6597.84
76,54,315.47,0.2,7873.24
77,93,485.57,0.21,7023.18
78,63,283.89,0.12,7908.31
79,18,174.83,0.16,5793.57
80,90,264.32,0.49,8641.95
81,44,489.84,0.18,5546.06
82,34,351.22,0.26,2370.47
83,74,339.27,0.42,5462.84
84,62,127.93,0.26,7158.15
85,14,374.37,0.16,6570.4
86,95,377.63,0.26,2505.87
87,48,165.47,0.06,506.67
88,15,247.02,0.07,2599.56
89,72,154.36,0.35,9842.02
90,78,136.77,0.46,1926.22
91,87,22.69,0.36,4697.28
92,62,149.75,0.04,6419.62
93,40,281.45,0.2,8806.78
94,85,10.78,0.0,7626.56
95,80,148.78,0.26,9098.64
96,82,441.89,0.1,6083.4
97,53,300.89,0.43,8666.66
98,24,307.85,0.05,2712.05
99,26,207.65,0.0,4362.59
100,89,341.47,0.23,8453.35
101,60,103.07,0.08,3323.08
102,41,411.19,0.37,8725.1
103,29,67.18,0.46,3694.84
104,15,331.44,0.02,3697.61
105,45,177.16,0.2,3159.43
106,65,376.28,0.5,5514.74
107,89,279.38,0.37,1377.78
108,71,231.65,0.48,462.37
109,9,93.02,0.08,8984.39
110,88,322.04,0.11,9296.49
111,1,487.64,0.08,854.09
112,8,414.55,0.15,5542.01
113,88,39.4,0.36,5442.85
114,63,194.35,0.08,3787.06
115,11,463.54,0.26,5732.16
116,81,256.49,0.13,4635.38
117,8,334.43,0.41,4947.39
118,35,457.17,0.0,7577.83
119,35,438.16,0.11,5307.01
120,33,255.89,0.3,3304.22
121,5,224.45,0.05,5856.42
122,41,176.45,0.23,6443.46
123,28,362.32,0.22,6656.88
124,7,150.62,0.43,6221.24
125,73,132.44,0.31,6679.57
126,72,184.56,0.32,3169.92
127,12,96.84,0.48,4516.73
128,34,350.61,0.49,6720.19
129,33,311.96,0.33,7568.25
130,48,246.61,0.26,4398.05
131,23,201.26,0.3,3716.8
132,62,455.44,0.19,7187.24
133,88,24.27,0.49,2299.51
134,37,386.86,0.35,193.97
135,99,451.94,0.15,4764.54
136,44,228.71,0.03,1816.39
137,86,279.84,0.02,3845.0
138,91,472.79,0.1,2983.22
139,35,114.02,0.12,7794.89
140,65,264.87,0.21,3380.94
141,99,242.61,0.11,6442.69
142,47,136.61,0.32,6771.73
143,78,411.11,0.11,4618.9
144,3,450.8,0.09,902.67
145,1,393.15,0.24,7033.61
146,5,105.73,0.44,844.16
147,90,52.51,0.23,1082.21
148,14,306.67,0.21,2040.37
149,27,37.98,0.29,2875.72
150,9,339.68,0.13,8479.87
151,79,269.91,0.18,6781.73
152,15,334.77,0.11,3933.41
153,90,299.18,0.29,9788.41
154,42,217.12,0.35,2511.67
155,77,108.43,0.34,6137.16
156,51,159.79,0.13,8487.42
157,63,267.01,0.39,8040.02
158,96,329.42,0.13,994.05
159,52,391.95,0.08,7003.01
160,96,385.91,0.17,2652.85
161,4,486.62,0.3,3621.76
162,94,150.06,0.07,4941.02
163,23,44.84,0.32,7928.43
164,15,179.37,0.43,1745.39
165,43,374.21,0.15,1174.7
166,29,224.67,0.23,1619.07
167,36,410.72,0.11,2260.41
168,13,279.17,0.18,689.07
169,32,465.6,0.01,9270.93
170,71,474.45,0.48,3258.93
171,59,43.96,0.21,1852.06
172,86,233.64,0.39,6414.56
173,28,308.75,0.07,7891.26
174,66,135.38,0.41,7557.02
175,42,209.47,0.43,7215.2
176,45,342.06,0.36,600.25
177,62,121.1,0.45,7843.38
178,57,304.97,0.08,5068.6
179,6,351.75,0.24,6525.95
180,28,54.34,0.31,9568.6
181,28,253.79,0.3,8125.66
182,44,138.91,0.43,8271.18
183,84,364.95,0.11,1896.53
184,30,102.88,0.09,4816.53
185,62,447.2,0.13,9498.32
186,75,221.16,0.45,5868.58
187,92,107.02,0.47,1115.61
188,89,224.63,0.28,7345.02
189,62,210.28,0.25,524.98
190,97,220.17,0.3,7448.74
191,1,296.93,0.31,8809.75
192,27,265.38,0.09,4309.98
193,62,83.39,0.34,4194.77
194,77,42.13,0.23,3111.69
195,3,367.41,0.26,8781.69
196,70,284.26,0.02,5523.07
197,72,185.91,0.38,5834.67
198,27,406.1,0.42,6650.9
199,9,200.15,0.31,3072.29
200,62,400.02,0.37,4384.58
201,37,159.82,0.26,7441.9
202,97,45.69,0.31,9856.32
203,51,466.99,0.2,439.62
204,44,203.33,0.4,522.22
205,24,398.42,0.23,4338.02
206,79,146.78,0.34,6630.26
207,59,326.72,0.31,3925.01
208,32,437.92,0.35,9996.42
209,96,30.41,0.39,2034.06
210,88,417.01,0.26,178.46
211,52,289.95,0.41,1982.28
212,62,307.66,0.25,8879.74
213,58,266.35,0.48,1536.98
214,52,438.49,0.38,4841.85
215,12,31.28,0.09,4250.83
216,39,137.9,0.41,6690.68
217,2,439.12,0.28,640.5
218,3,378.65,0.49,6621.63
219,56,18.65,0.36,3612.04
220,81,263.33,0.04,9267.79
221,59,269.49,0.2,8503.98
222,2,206.43,0.26,4055.11
223,2,155.72,0.42,9929.63
224,92,344.05,0.36,614.24
225,54,111.82,0.18,7907.46
226,87,401.48,0.33,4394.98
227,96,403.49,0.29,4389.72
228,97,213.48,0.06,1784.32
229,1,148.94,0.12,5197.31
230,19,149.1,0.17,938.71
231,2,246.32,0.1,6204.11
232,53,362.59,0.08,2491.75
233,44,185.85,0.03,7276.09
234,90,308.92,0.44,6112.88
235,32,197.42,0.14,7489.41
236,70,159.22,0.15,7522.45
237,32,22.18,0.1,2047.42
238,68,11.92,0.24,106.68
239,55,121.33,0.26,3721.04
240,75,209.14,0.1,9198.79
241,56,427.12,0.3,5821.2
242,17,401.26,0.36,7302.27
243,38,140.91,0.19,8807.75
244,24,129.82,0.29,9069.98
245,69,121.39,0.25,5337.35
246,98,176.23,0.1,5455.33
247,70,254.12,0.37,8524.29
248,86,224.95,0.4,8094.11
249,11,116.95,0.32,7018.7
250,16,73.92,0.16,6084.2
251,97,16.16,0.46,6210.43
252,73,85.44,0.23,3692.82
253,59,355.62,0.13,8425.09
254,70,129.38,0.2,6216.02
255,80,239.61,0.35,2312.93
256,93,299.74,0.42,2474.45
257,3,444.55,0.18,8629.87
258,20,445.54,0.12,6294.5
259,59,375.41,0.31,4047.17
260,36,27.23,0.46,1952.3
261,19,291.78,0.09,6141.14
262,90,395.43,0.4,1924.67
263,67,18.47,0.24,4754.65
264,19,279.35,0.4,6807.35
265,20,430.3,0.25,5697.61
266,96,242.31,0.19,9228.79
267,71,12.01,0.35,493.24
268,52,15.4,0.45,2869.97
269,33,214.15,0.16,665.15
270,40,85.95,0.23,2026.58
271,39,335.58,0.11,1327.44
272,82,357.31,0.09,7353.35
273,1,97.16,0.39,3756.82
274,11,445.38,0.1,9257.94
275,92,226.53,0.4,331.44
276,57,79.99,0.21,6563.95
277,89,384.48,0.5,9708.39
278,50,397.09,0.1,1840.8
279,23,323.25,0.05,4480.08
280,31,428.2,0.04,7048.71
281,94,371.31,0.42,6368.07
282,42,442.28,0.22,5703.67
283,99,222.61,0.0,3334.89
284,7,376.32,0.44,7309.18
285,16,499.88,0.44,6567.23
286,90,365.22,0.4,1711.72
287,60,65.95,0.12,9644.5
288,2,263.98,0.19,5601.16
289,1,297.8,0.37,5302.07
290,48,95.36,0.24,8497.54
291,12,481.82,0.08,6440.09
292,69,96.03,0.12,837.34
293,37,97.0,0.49,5115.23
294,32,458.43,0.08,7827.91
295,9,237.95,0.36,7029.8
296,99,40.96,0.24,9710.61
297,19,303.11,0.37,346.67
298,48,304.89,0.33,2686.07
299,80,41.61,0.22,5536.65
300,3,486.54,0.18,6232.95
301,20,276.57,0.38,2816.12
302,24,284.3,0.16,8285.34
303,54,264.86,0.39,1727.04
304,33,309.26,0.34,108.41
305,24,139.51,0.29,9528.67
306,75,150.75,0.18,3976.41
307,72,260.56,0.1,9579.15
308,36,405.28,0.36,2851.52
309,38,34.43,0.05,728.14
310,84,305.67,0.49,7747.94
311,99,405.32,0.49,8374.61
312,89,86.89,0.07,4971.66
313,99,17.36,0.05,831.12
314,25,163.23,0.21,6575.93
315,93,298.19,0.48,1903.23
316,18,77.76,0.2,8508.88
317,82,218.8,0.18,2812.83
318,66,280.64,0.35,8492.29
319,54,303.45,0.09,4326.55
320,35,144.46,0.18,6005.23
321,80,206.01,0.15,7916.67
322,61,391.39,0.3,500.35
323,41,471.2,0.08,8229.54
324,33,432.32,0.27,1472.62
325,68,286.5,0.43,3648.34
326,33,211.04,0.26,4780.53
327,14,173.15,0.34,8964.72
328,21,71.23,0.04,322.16
329,48,62.21,0.22,5636.11
330,20,347.3,0.05,6460.97
331,8,137.3,0.3,3234.16
332,7,134.78,0.14,2975.82
333,67,499.12,0.14,4955.64
