SalesID,Quantity,Price,Discount,Revenue,TotalPrice,DiscountedRevenue
1,52,354.14,0.43,9665.46,18415.28,10496.7096
2,93,427.46,0.44,1449.26,39753.78,22262.1168
3,15,184.74,0.29,7571.53,2771.1000000000004,1967.4810000000002
4,72,138.08,0.26,3370.39,9941.76,7356.9024
5,61,473.83,0.41,2974.54,28903.629999999997,17053.1417
6,21,365.89,0.37,2780.7,7683.69,4840.7247
7,83,117.64,0.2,3552.94,9764.12,7811.296000000001
8,87,230.05,0.04,3635.46,20014.350000000002,19213.776
9,75,400.26,0.38,2780.4,30019.5,18612.09
10,75,278.06,0.08,6708.18,20854.5,19186.14
11,88,328.48,0.01,572.45,28906.24,28617.177600000003
12,24,379.35,0.42,3389.71,9104.400000000001,5280.5520000000015
13,3,314.78,0.29,2874.04,944.3399999999999,670.4813999999999
14,22,274.64,0.45,7539.04,6042.08,3323.1440000000002
15,53,377.31,0.24,1550.34,19997.43,15198.0468
16,2,366.51,0.46,9412.8,733.02,395.8308
17,88,318.64,0.18,1788.13,28040.32,22993.062400000003
18,30,186.3,0.36,3763.27,5589.0,3576.96
19,38,208.85,0.15,2077.03,7936.3,6745.855
20,2,485.51,0.0,2938.31,971.02,971.02
21,64,65.07,0.19,7634.14,4164.48,3373.2288
22,60,141.57,0.37,4816.41,8494.199999999999,5351.346
23,21,251.28,0.08,1709.5,5276.88,4854.729600000001
24,33,420.0,0.25,561.69,13860.0,10395.0
25,76,90.2,0.11,2376.17,6855.2,6101.128
26,58,145.71,0.04,9461.47,8451.18,8113.1328
27,22,42.24,0.31,8468.64,929.2800000000001,641.2032
28,89,355.93,0.48,4457.72,31677.77,16472.4404
29,49,126.72,0.16,4871.75,6209.28,5215.7952
30,91,200.45,0.29,9003.72,18240.95,12951.0745
31,59,227.41,0.48,5954.32,13417.19,6976.938800000001
32,42,446.74,0.33,8819.59,18763.08,12571.2636
33,92,211.55,0.34,4969.21,19462.600000000002,12845.316
34,60,81.16,0.09,2080.97,4869.599999999999,4431.335999999999
35,80,266.91,0.25,7286.68,21352.800000000003,16014.600000000002
36,15,481.85,0.18,5311.29,7227.75,5926.755
37,62,307.77,0.24,6717.55,19081.739999999998,14502.122399999998
38,62,491.86,0.4,1656.59,30495.32,18297.192
39,47,422.14,0.23,6511.26,19840.579999999998,15277.246599999999
40,62,27.62,0.03,3884.35,1712.44,1661.0668
41,51,332.62,0.45,3386.78,16963.62,9329.991
42,55,150.52,0.27,6747.61,8278.6,6043.378
43,64,284.21,0.46,5963.17,18189.44,9822.2976
44,3,146.88,0.29,6526.16,440.64,312.8544
45,51,180.95,0.03,9656.8,9228.449999999999,8951.596499999998
46,7,462.35,0.28,7041.85,3236.4500000000003,2330.244
47,21,111.26,0.29,6444.9,2336.46,1658.8866
48,73,438.31,0.11,6174.18,31996.63,28477.0007
49,39,24.92,0.24,4047.27,971.8800000000001,738.6288000000001
50,18,54.53,0.23,8408.0,981.54,755.7858
51,4,428.79,0.31,3871.29,1715.16,1183.4604
52,89,318.97,0.13,7032.41,28388.33,24697.847100000003
53,60,376.15,0.29,3002.12,22569.0,16023.99
54,14,112.61,0.12,1562.79,1576.54,1387.3552
55,9,273.17,0.22,1384.66,2458.53,1917.6534000000001
56,90,371.24,0.06,6382.13,33411.6,31406.904
57,53,317.38,0.02,3346.75,16821.14,16484.7172
58,2,241.13,0.16,2822.99,482.26,405.09839999999997
59,84,480.29,0.14,5961.39,40344.36,34696.1496
60,92,341.32,0.2,354.13,31401.44,25121.152000000002
61,60,454.8,0.48,2537.63,27288.0,14189.76
62,71,367.59,0.26,3471.42,26098.89,19313.1786
63,44,370.38,0.28,7112.9,16296.72,11733.6384
64,8,49.21,0.47,5495.51,393.68,208.65040000000002
65,47,186.14,0.46,8574.29,8748.58,4724.233200000001
66,35,430.6,0.44,3411.61,15071.0,8439.76
67,78,123.98,0.05,3034.77,9670.44,9186.918
68,81,66.6,0.32,428.65,5394.599999999999,3668.3279999999995
69,36,169.79,0.4,9522.0,6112.44,3667.4639999999995
70,50,118.01,0.42,5064.77,5900.5,3422.2900000000004
71,4,463.39,0.29,5074.99,1853.56,1316.0276
72,2,435.3,0.01,9242.02,870.6,861.894
73,6,254.84,0.49,2970.19,1529.04,779.8104
74,54,40.06,0.24,3387.85,2163.2400000000002,1644.0624000000003
75,4,360.14,0.2,6597.84,1440.56,1152.448
76,54,315.47,0.2,7873.24,17035.38,13628.304000000002
77,93,485.57,0.21,7023.18,45158.01,35674.827900000004
78,63,283.89,0.12,7908.31,17885.07,15738.8616
79,18,174.83,0.16,5793.57,3146.94,2643.4296
80,90,264.32,0.49,8641.95,23788.8,12132.288
81,44,489.84,0.18,5546.06,21552.96,17673.427200000002
82,34,351.22,0.26,2370.47,11941.480000000001,8836.6952
83,74,339.27,0.42,5462.84,25105.98,14561.468400000002
84,62,127.93,0.26,7158.15,7931.660000000001,5869.428400000001
85,14,374.37,0.16,6570.4,5241.18,4402.5912
86,95,377.63,0.26,2505.87,35874.85,26547.389
87,48,165.47,0.06,506.67,7942.5599999999995,7466.006399999999
88,15,247.02,0.07,2599.56,3705.3,3445.929
89,72,154.36,0.35,9842.02,11113.920000000002,7224.048000000002
90,78,136.77,0.46,1926.22,10668.060000000001,5760.752400000001
91,87,22.69,0.36,4697.28,1974.0300000000002,1263.3792
92,62,149.75,0.04,6419.62,9284.5,8913.119999999999
93,40,281.45,0.2,8806.78,11258.0,9006.4
94,85,10.78,0.0,7626.56,916.3,916.3
95,80,148.78,0.26,9098.64,11902.4,8807.776
96,82,441.89,0.1,6083.4,36234.979999999996,32611.481999999996
97,53,300.89,0.43,8666.66,15947.17,9089.886900000001
98,24,307.85,0.05,2712.05,7388.400000000001,7018.9800000000005
99,26,207.65,0.0,4362.59,5398.900000000001,5398.900000000001
100,89,341.47,0.23,8453.35,30390.83,23400.939100000003
101,60,103.07,0.08,3323.08,6184.2,5689.464
102,41,411.19,0.37,8725.1,16858.79,10621.0377
103,29,67.18,0.46,3694.84,1948.2200000000003,1052.0388000000003
104,15,331.44,0.02,3697.61,4971.6,4872.168000000001
105,45,177.16,0.2,3159.43,7972.2,6377.76
106,65,376.28,0.5,5514.74,24458.199999999997,12229.099999999999
107,89,279.38,0.37,1377.78,24864.82,15664.8366
108,71,231.65,0.48,462.37,16447.15,8552.518000000002
109,9,93.02,0.08,8984.39,837.18,770.2056
110,88,322.04,0.11,9296.49,28339.52,25222.1728
111,1,487.64,0.08,854.09,487.64,448.6288
112,8,414.55,0.15,5542.01,3316.4,2818.94
113,88,39.4,0.36,5442.85,3467.2,2219.008
114,63,194.35,0.08,3787.06,12244.05,11264.526
115,11,463.54,0.26,5732.16,5098.9400000000005,3773.2156000000004
116,81,256.49,0.13,4635.38,20775.690000000002,18074.850300000002
117,8,334.43,0.41,4947.39,2675.44,1578.5096000000003
118,35,457.17,0.0,7577.83,16000.95,16000.95
119,35,438.16,0.11,5307.01,15335.6,13648.684000000001
120,33,255.89,0.3,3304.22,8444.369999999999,5911.058999999999
121,5,224.45,0.05,5856.42,1122.25,1066.1375
122,41,176.45,0.23,6443.46,7234.45,5570.5265
123,28,362.32,0.22,6656.88,10144.96,7913.0688
124,7,150.62,0.43,6221.24,1054.3400000000001,600.9738000000001
125,73,132.44,0.31,6679.57,9668.119999999999,6671.002799999998
126,72,184.56,0.32,3169.92,13288.32,9036.057599999998
127,12,96.84,0.48,4516.73,1162.08,604.2816
128,34,350.61,0.49,6720.19,11920.74,6079.5774
129,33,311.96,0.33,7568.25,10294.679999999998,6897.435599999998
130,48,246.61,0.26,4398.05,11837.28,8759.5872
131,23,201.26,0.3,3716.8,4628.98,3240.2859999999996
132,62,455.44,0.19,7187.24,28237.28,22872.1968
133,88,24.27,0.49,2299.51,2135.7599999999998,1089.2376
134,37,386.86,0.35,193.97,14313.82,9303.983
135,99,451.94,0.15,4764.54,44742.06,38030.751
136,44,228.71,0.03,1816.39,10063.24,9761.3428
137,86,279.84,0.02,3845.0,24066.239999999998,23584.915199999996
138,91,472.79,0.1,2983.22,43023.89,38721.501000000004
139,35,114.02,0.12,7794.89,3990.7,3511.816
140,65,264.87,0.21,3380.94,17216.55,13601.0745
141,99,242.61,0.11,6442.69,24018.390000000003,21376.367100000003
142,47,136.61,0.32,6771.73,6420.670000000001,4366.055600000001
143,78,411.11,0.11,4618.9,32066.58,28539.256200000003
144,3,450.8,0.09,902.67,1352.4,1230.6840000000002
145,1,393.15,0.24,7033.61,393.15,298.794
146,5,105.73,0.44,844.16,528.65,296.04400000000004
147,90,52.51,0.23,1082.21,4725.9,3638.9429999999998
148,14,306.67,0.21,2040.37,4293.38,3391.7702000000004
149,27,37.98,0.29,2875.72,1025.4599999999998,728.0765999999999
150,9,339.68,0.13,8479.87,3057.12,2659.6944
151,79,269.91,0.18,6781.73,21322.890000000003,17484.769800000005
152,15,334.77,0.11,3933.41,5021.549999999999,4469.179499999999
153,90,299.18,0.29,9788.41,26926.2,19117.602
154,42,217.12,0.35,2511.67,9119.04,5927.376000000001
155,77,108.43,0.34,6137.16,8349.11,5510.4126
156,51,159.79,0.13,8487.42,8149.29,7089.8823
157,63,267.01,0.39,8040.02,16821.63,10261.194300000001
158,96,329.42,0.13,994.05,31624.32,27513.1584
159,52,391.95,0.08,7003.01,20381.399999999998,18750.888
